date,mkp_name,ipl_cl,ipl_pro,rasuradora,perfiladora,repuestos,exfoliante,agua_de_rosas
2024-10-14,ml,7,2,2,2,0,1,1
2024-10-15,ml,7,4,1,2,0,1,1
2024-10-16,amzn,6,5,2,2,0,1,1
2024-10-17,ml,11,5,1,2,0,1,1
2024-10-18,amzn,2,4,2,3,0,1,1
2024-10-19,shop,6,1,1,1,0,0,0
2024-10-20,shop,4,1,2,1,0,1,1
2024-10-21,ml,7,4,2,2,0,2,1
2024-10-22,amzn,3,2,1,1,0,1,1
2024-10-23,ml,8,3,1,4,0,1,0
2024-10-24,ml,1,3,2,2,0,1,1
2024-10-25,ml,10,5,2,2,0,2,2
2024-10-26,shop,0,1,1,2,0,1,0
2024-10-27,shop,4,0,1,1,0,1,1
2024-10-28,amzn,5,3,2,2,0,1,1
2024-10-29,amzn,8,2,1,2,0,1,1
2024-10-30,amzn,5,3,1,2,0,1,1
2024-10-31,amzn,4,2,1,2,0,1,0
2024-11-01,amzn,7,3,2,1,0,1,1
2024-11-02,amzn,12,5,2,2,0,1,2
2024-11-03,ml,11,3,3,3,0,2,2
2024-11-04,ml,8,4,2,4,0,2,2
2024-11-05,shop,3,2,1,1,0,1,0
2024-11-06,amzn,3,3,2,0,0,2,1
2024-11-07,shop,6,0,0,1,0,1,1
2024-11-08,ml,5,5,2,4,0,1,2
2024-11-09,amzn,10,5,1,3,0,1,1
2024-11-10,ml,10,4,1,2,0,2,2
2024-11-11,ml,15,2,2,3,0,1,2
2024-11-12,ml,6,4,2,2,0,1,1
2024-11-13,ml,9,2,2,1,0,1,1
2024-11-14,shop,9,2,1,1,0,1,0
2024-11-15,ml,13,4,2,3,0,1,2
2024-11-16,amzn,8,3,2,1,0,2,1
2024-11-17,amzn,9,3,2,1,0,1,2
2024-11-18,ml,10,4,2,3,0,2,1
2024-11-19,amzn,8,3,1,2,0,0,1
2024-11-20,ml,8,5,2,3,0,1,1
2024-11-21,shop,5,2,1,0,0,1,1
2024-11-22,shop,2,4,1,2,0,0,1
2024-11-23,amzn,10,4,2,2,0,1,1
2024-11-24,amzn,9,3,1,3,0,1,2
2024-11-25,ml,9,3,1,1,0,1,1
2024-11-26,shop,1,1,0,1,0,1,1
2024-11-27,ml,15,6,3,3,0,2,2
2024-11-28,ml,13,5,3,4,0,1,1
2024-11-29,ml,9,2,2,3,0,2,2
2024-11-30,amzn,9,4,3,3,0,1,2
2024-12-01,amzn,4,3,1,2,0,1,1
2024-12-02,amzn,5,5,3,1,0,1,1
2024-12-03,amzn,7,2,1,2,0,1,1
2024-12-04,ml,15,4,2,2,0,2,2
2024-12-05,shop,4,4,1,0,0,1,1
2024-12-06,amzn,10,5,2,3,0,1,1
2024-12-07,amzn,7,3,2,1,0,1,1
2024-12-08,ml,12,5,2,3,0,2,2
2024-12-09,shop,5,3,2,0,0,1,0
2024-12-10,ml,12,2,2,3,0,2,1
2024-12-11,ml,9,3,2,2,0,1,1
2024-12-12,amzn,5,4,1,3,0,1,1
2024-12-13,ml,7,6,2,3,0,1,2
2024-12-14,ml,10,5,2,4,0,1,2
2024-12-15,amzn,8,5,2,2,0,1,2
2024-12-16,ml,11,5,1,3,0,1,1
2024-12-17,shop,4,5,2,1,0,0,2
2024-12-18,ml,19,5,2,3,0,1,1
2024-12-19,amzn,7,5,1,3,0,2,2
2024-12-20,amzn,9,6,1,2,0,1,1
2024-12-21,amzn,8,3,2,2,0,1,1
2024-12-22,amzn,9,6,2,2,0,1,1
2024-12-23,amzn,10,3,2,1,0,2,2
2024-12-24,shop,0,3,1,1,0,0,0
2024-12-25,ml,12,5,2,3,0,2,1
2024-12-26,ml,17,5,2,2,0,2,1
2024-12-27,amzn,9,3,1,2,0,1,2
2024-12-28,shop,8,3,1,3,0,1,1
2024-12-29,ml,15,7,2,3,0,2,3
2024-12-30,amzn,8,3,1,2,0,1,1
2024-12-31,shop,5,3,2,2,0,0,0
2025-01-01,amzn,2,4,2,3,0,1,1
2025-01-02,shop,7,1,2,1,0,1,1
2025-01-03,amzn,8,4,2,2,0,1,1
2025-01-04,amzn,7,5,2,2,0,1,2
2025-01-05,ml,12,8,2,6,0,2,2
2025-01-06,shop,4,2,2,0,0,1,1
2025-01-07,ml,9,4,2,2,0,2,1
2025-01-08,amzn,9,4,2,2,0,1,2
2025-01-09,ml,7,5,2,2,0,2,2
2025-01-10,amzn,10,3,1,4,0,1,1
2025-01-11,amzn,6,4,1,5,0,1,1
2025-01-12,amzn,7,4,2,2,0,1,1
2025-01-13,shop,10,2,2,1,0,1,2
2025-01-14,ml,14,5,3,2,0,2,2
2025-01-15,amzn,8,4,1,2,0,1,1
2025-01-16,ml,8,5,2,3,0,1,1
2025-01-17,ml,9,4,2,3,0,1,3
2025-01-18,amzn,10,3,2,3,0,1,2
2025-01-19,ml,12,3,2,4,0,2,2
2025-01-20,ml,10,3,2,3,0,1,1
2025-01-21,amzn,7,2,1,2,0,1,1
2025-01-22,amzn,8,4,2,2,0,1,1
2025-01-23,amzn,5,3,1,3,0,1,1
2025-01-24,ml,9,4,2,3,0,1,1
2025-01-25,ml,14,4,3,4,0,2,2
2025-01-26,ml,8,5,2,4,0,1,1
2025-01-27,amzn,7,5,2,1,0,1,1
2025-01-28,shop,3,3,2,1,0,0,1
2025-01-29,ml,11,5,2,3,0,0,0
2025-01-30,amzn,7,3,2,2,0,1,1
2025-01-31,ml,15,5,3,4,0,1,2
2025-02-01,ml,15,6,3,5,0,1,3
2025-02-02,ml,6,5,3,4,0,1,1
2025-02-03,ml,11,3,2,3,0,1,1
2025-02-04,amzn,6,4,2,3,0,1,1
2025-02-05,shop,4,0,1,3,0,1,1
2025-02-06,ml,11,5,2,4,0,2,2
2025-02-07,amzn,6,4,2,2,0,0,2
2025-02-08,amzn,12,4,2,4,0,2,1
2025-02-09,shop,5,5,2,2,0,1,1
2025-02-10,amzn,5,2,2,2,0,1,1
2025-02-11,ml,10,5,3,3,0,0,1
2025-02-12,amzn,7,4,1,3,0,1,1
2025-02-13,ml,13,5,3,4,0,2,2
2025-02-14,shop,7,2,1,2,0,1,1
2025-02-15,ml,16,5,2,5,0,1,2
2025-02-16,amzn,15,5,3,2,0,1,1
2025-02-17,ml,8,6,4,3,0,1,2
2025-02-18,ml,12,5,3,4,0,2,2
2025-02-19,shop,3,4,2,1,0,1,2
2025-02-20,amzn,7,3,2,5,0,2,2
2025-02-21,amzn,9,5,1,3,0,1,2
2025-02-22,shop,4,2,1,2,0,1,1
2025-02-23,shop,4,4,2,2,0,1,1
2025-02-24,ml,10,7,2,2,0,1,1
2025-02-25,amzn,5,3,1,2,0,1,1
2025-02-26,amzn,10,1,2,3,0,1,1
2025-02-27,amzn,7,4,2,2,0,1,1
2025-02-28,ml,17,6,2,3,0,1,2
2025-03-01,ml,12,6,3,5,0,2,2
2025-03-02,shop,6,3,2,3,0,0,1
2025-03-03,shop,3,4,1,2,0,1,0
2025-03-04,shop,10,3,2,1,0,1,1
2025-03-05,shop,9,4,1,2,0,1,2
2025-03-06,amzn,10,5,2,2,0,1,2
2025-03-07,amzn,5,5,2,2,0,1,1
2025-03-08,amzn,10,5,3,2,0,1,1
2025-03-09,amzn,6,5,2,2,0,1,1
2025-03-10,amzn,11,3,1,2,0,2,2
2025-03-11,ml,14,5,3,3,0,1,2
2025-03-12,amzn,9,6,1,3,0,1,1
2025-03-13,ml,5,5,2,3,0,1,2
2025-03-14,ml,8,6,2,5,0,1,0
2025-03-15,amzn,11,4,2,3,0,1,2
2025-03-16,ml,13,4,3,4,0,1,2
2025-03-17,ml,12,4,2,3,0,1,2
2025-03-18,shop,2,4,1,2,0,1,0
2025-03-19,shop,7,3,2,2,0,1,1
2025-03-20,ml,14,3,3,4,0,2,3
2025-03-21,ml,5,4,3,3,0,1,2
2025-03-22,ml,13,8,3,4,0,1,1
2025-03-23,amzn,10,4,1,3,0,1,1
2025-03-24,shop,5,1,2,1,0,1,0
2025-03-25,ml,7,7,2,3,0,2,3
2025-03-26,amzn,6,4,2,2,0,1,1
2025-03-27,ml,10,5,2,2,0,1,1
2025-03-28,ml,12,5,4,4,0,2,2
2025-03-29,shop,4,4,1,3,0,1,0
2025-03-30,ml,12,5,3,3,0,2,2
2025-03-31,ml,11,6,2,4,0,1,2
2025-04-01,amzn,10,4,1,2,0,1,2
2025-04-02,amzn,7,4,2,2,0,2,1
2025-04-03,shop,5,3,2,1,0,1,1
2025-04-04,shop,7,3,1,3,0,1,1
2025-04-05,ml,8,7,3,4,0,2,1
2025-04-06,ml,13,4,1,5,0,1,2
2025-04-07,amzn,8,2,2,2,0,2,1
2025-04-08,ml,10,5,2,3,0,2,2
2025-04-09,shop,8,3,1,1,0,1,1
2025-04-10,amzn,4,4,2,3,0,1,1
2025-04-11,ml,7,6,2,4,0,2,2
2025-04-12,shop,8,3,1,2,0,1,1
2025-04-13,ml,11,6,2,5,0,1,2
2025-04-14,amzn,8,3,1,4,0,1,1
2025-04-15,amzn,8,4,1,3,0,1,1
2025-04-16,amzn,10,3,2,2,0,1,2
2025-04-17,amzn,10,6,1,3,0,2,1
2025-04-18,amzn,10,2,2,2,0,1,1
2025-04-19,shop,6,4,1,3,0,1,1
2025-04-20,shop,1,1,2,2,0,1,2
2025-04-21,amzn,11,4,2,3,0,0,0
2025-04-22,ml,14,5,2,4,0,2,2
2025-04-23,amzn,11,2,3,4,0,1,1
2025-04-24,shop,4,3,1,2,0,1,1
2025-04-25,ml,16,6,4,4,0,2,2
2025-04-26,amzn,12,2,1,4,0,1,2
2025-04-27,amzn,12,4,2,3,0,1,1
2025-04-28,ml,10,7,2,3,0,2,2
2025-04-29,amzn,8,5,1,3,0,1,1
2025-04-30,ml,13,5,2,4,0,2,2
2025-05-01,amzn,11,5,2,3,0,1,2
2025-05-02,shop,3,4,1,1,0,1,1
2025-05-03,shop,8,5,2,1,0,1,1
2025-05-04,ml,13,6,2,3,0,2,2
2025-05-05,ml,11,4,3,2,0,2,1
2025-05-06,amzn,10,4,2,2,0,2,1
2025-05-07,shop,6,3,1,2,0,1,1
2025-05-08,amzn,13,2,2,3,0,1,2
2025-05-09,shop,4,3,1,2,0,1,1
2025-05-10,ml,10,8,3,2,0,1,2
2025-05-11,shop,7,4,2,2,0,0,1
2025-05-12,ml,13,6,3,4,0,1,2
2025-05-13,ml,9,6,3,4,0,0,1
2025-05-14,amzn,7,4,4,2,0,1,1
2025-05-15,ml,8,6,3,4,0,2,2
2025-05-16,ml,14,5,3,6,0,2,2
2025-05-17,ml,12,5,3,4,0,2,2
2025-05-18,amzn,10,6,2,3,0,2,1
2025-05-19,amzn,10,5,1,2,0,1,1
2025-05-20,ml,10,4,2,3,0,1,2
2025-05-21,amzn,10,5,2,3,0,0,2
2025-05-22,shop,6,3,1,2,0,1,1
2025-05-23,ml,14,6,3,3,0,1,3
2025-05-24,ml,16,7,4,4,0,2,2
2025-05-25,shop,5,4,2,2,0,1,1
2025-05-26,shop,6,3,1,2,0,1,1
2025-05-27,amzn,12,6,2,2,0,1,1
2025-05-28,shop,6,3,2,1,0,1,0
2025-05-29,ml,8,6,3,3,0,2,1
2025-05-30,ml,13,4,1,4,0,2,2
2025-05-31,amzn,7,6,2,3,0,1,1
2025-06-01,ml,15,6,3,4,0,1,2
2025-06-02,amzn,11,5,2,2,0,1,2
2025-06-03,amzn,9,2,2,3,0,1,2
2025-06-04,amzn,9,3,2,3,0,1,2
2025-06-05,amzn,9,6,2,4,0,2,1
2025-06-06,ml,15,6,3,5,0,3,2
2025-06-07,ml,12,4,2,5,1,2,3
2025-06-08,ml,14,7,3,4,0,2,3
2025-06-09,amzn,10,3,2,3,0,2,1
2025-06-10,ml,9,6,2,4,0,2,2
2025-06-11,ml,9,5,1,3,0,1,2
2025-06-12,ml,7,5,2,3,0,2,2
2025-06-13,ml,8,6,2,4,0,2,2
2025-06-14,shop,2,2,1,2,0,1,2
2025-06-15,ml,15,5,3,3,0,2,2
2025-06-16,shop,10,3,2,2,0,1,1
2025-06-17,ml,13,5,2,3,0,1,1
2025-06-18,amzn,5,2,1,1,0,1,1
2025-06-19,amzn,10,2,2,2,0,1,1
2025-06-20,ml,16,6,3,4,0,2,2
2025-06-21,shop,5,2,2,2,0,1,1
2025-06-22,shop,6,2,2,3,0,1,1
2025-06-23,shop,1,1,1,1,0,1,1
2025-06-24,ml,11,4,2,3,0,1,1
2025-06-25,ml,8,5,2,1,0,1,2
2025-06-26,amzn,8,4,2,2,0,1,2
2025-06-27,ml,7,4,3,3,0,2,2
2025-06-28,amzn,11,6,2,3,0,1,2
2025-06-29,amzn,11,3,2,4,0,1,2
2025-06-30,amzn,6,3,2,3,0,0,0
2025-07-01,shop,3,4,2,2,0,1,1
2025-07-02,amzn,5,5,2,3,0,1,3
2025-07-03,ml,11,5,2,4,0,2,2
2025-07-04,ml,10,5,1,3,0,2,2
2025-07-05,amzn,8,7,2,3,0,2,2
2025-07-06,amzn,11,6,2,1,0,1,1
2025-07-07,ml,11,4,2,3,0,2,2
2025-07-08,ml,9,5,2,4,0,1,1
2025-07-09,amzn,7,4,2,4,0,2,2
2025-07-10,shop,9,2,0,2,0,1,2
2025-07-11,amzn,12,5,2,3,0,2,2
2025-07-12,ml,15,7,3,4,0,2,2
2025-07-13,ml,14,7,3,4,0,2,2
2025-07-14,amzn,6,5,1,1,0,1,1
2025-07-15,ml,12,5,2,4,0,2,2
2025-07-16,amzn,8,3,1,3,0,1,1
2025-07-17,amzn,8,5,2,3,0,1,2
2025-07-18,ml,13,5,2,3,0,1,2
2025-07-19,ml,11,7,3,4,0,2,2
2025-07-20,ml,12,5,1,3,0,2,2
2025-07-21,shop,6,1,0,1,0,1,1
2025-07-22,amzn,0,2,1,3,0,1,1
2025-07-23,ml,13,6,2,3,0,1,1
2025-07-24,shop,0,2,1,2,0,1,0
2025-07-25,amzn,7,6,2,1,0,2,1
2025-07-26,amzn,14,5,2,4,0,1,2
2025-07-27,shop,6,3,1,3,0,1,1
2025-07-28,ml,6,7,2,3,0,1,1
2025-07-29,ml,8,4,2,3,0,2,2
2025-07-30,amzn,10,2,2,3,0,1,1
2025-07-31,ml,6,6,3,3,0,1,2
2025-08-01,amzn,11,3,1,3,0,1,1
2025-08-02,ml,12,5,3,3,0,1,1
2025-08-03,ml,7,4,2,3,0,1,2
2025-08-04,ml,8,5,2,4,0,1,1
2025-08-05,amzn,4,2,1,3,0,1,1
2025-08-06,ml,11,4,1,2,0,1,2
2025-08-07,ml,13,6,2,3,0,2,1
2025-08-08,shop,1,1,1,1,0,1,1
2025-08-09,ml,11,5,2,4,0,2,2
2025-08-10,ml,8,4,2,2,0,2,2
2025-08-11,ml,12,3,1,3,0,1,2
2025-08-12,ml,6,3,2,3,0,1,2
2025-08-13,ml,13,4,2,3,0,1,2
2025-08-14,amzn,7,3,1,3,0,1,1
2025-08-15,ml,7,4,2,3,0,2,1
2025-08-16,shop,3,2,0,1,0,1,0
2025-08-17,shop,3,2,1,1,0,0,1
2025-08-18,ml,6,5,2,4,0,1,1
2025-08-19,ml,9,5,2,2,0,1,1
2025-08-20,ml,6,3,2,3,0,1,1
2025-08-21,amzn,2,4,2,2,0,1,1
2025-08-22,ml,8,4,1,2,0,1,2
2025-08-23,shop,1,3,1,1,0,1,2
2025-08-24,amzn,5,4,2,3,0,1,1
2025-08-25,shop,2,2,2,1,0,0,0
2025-08-26,amzn,3,1,1,1,0,0,0
2025-08-27,shop,9,2,1,1,0,0,1
2025-08-28,ml,10,6,1,3,0,2,2
2025-08-29,ml,10,4,1,6,0,2,2
2025-08-30,ml,5,5,2,3,0,1,1
2025-08-31,shop,3,1,1,1,0,1,0
2025-09-01,amzn,5,1,0,3,0,1,0
2025-09-02,shop,2,2,1,0,0,0,0
2025-09-03,ml,12,3,2,3,0,1,2
2025-09-04,shop,2,2,2,3,0,1,0
2025-09-05,amzn,6,4,2,2,0,1,2
2025-09-06,amzn,6,1,2,1,0,1,1
2025-09-07,shop,4,0,1,1,0,1,1
2025-09-08,ml,6,2,2,3,0,1,1
2025-09-09,ml,7,3,2,3,0,1,1
2025-09-10,amzn,6,2,1,1,0,1,1
2025-09-11,ml,7,5,3,2,0,1,1
2025-09-12,ml,10,5,2,2,0,1,2
2025-09-13,ml,11,5,2,3,0,1,2
2025-09-14,ml,8,4,2,4,0,1,1
2025-09-15,shop,3,2,2,2,0,1,1
2025-09-16,amzn,9,2,2,3,0,1,1
2025-09-17,ml,7,4,1,1,0,2,1
2025-09-18,ml,7,2,2,1,0,1,1
2025-09-19,amzn,8,4,1,3,0,1,2
2025-09-20,amzn,11,4,2,1,0,0,1
2025-09-21,shop,2,2,0,1,0,1,1
2025-09-22,shop,6,1,1,1,0,1,1
2025-09-23,ml,4,4,2,2,0,1,2
2025-09-24,ml,8,1,2,2,0,0,2
2025-09-25,amzn,10,3,1,2,0,1,1
2025-09-26,amzn,9,3,3,3,0,2,1
2025-09-27,amzn,7,3,3,3,0,0,2
2025-09-28,amzn,5,4,1,2,0,1,2
2025-09-29,amzn,6,2,1,2,0,0,1
2025-09-30,ml,7,2,2,2,0,1,1
2025-10-01,ml,5,3,2,1,0,1,1
2025-10-02,ml,8,4,2,2,0,0,0
2025-10-03,ml,9,4,2,3,0,1,2
2025-10-04,ml,8,5,3,3,0,2,1
2025-10-05,amzn,4,4,1,0,0,1,1
2025-10-06,ml,4,2,2,2,0,1,2
2025-10-07,ml,8,3,1,3,0,1,1
2025-10-08,amzn,7,4,2,2,0,0,2
2025-10-09,amzn,7,1,2,1,0,1,1
2025-10-10,ml,11,4,2,4,0,2,1
2025-10-11,shop,5,2,2,1,0,0,0
2025-10-12,shop,5,2,1,2,0,0,1
2025-10-13,amzn,7,2,1,2,0,0,0
2025-10-14,amzn,5,2,1,2,0,0,1
2025-10-15,ml,7,6,2,2,0,1,1
2025-10-16,shop,10,1,1,3,0,1,1
2025-10-17,ml,8,3,2,4,0,1,1
2025-10-18,shop,4,1,0,2,0,0,0
2025-10-19,amzn,8,5,1,3,0,1,1
2025-10-20,ml,10,4,1,2,0,1,1
2025-10-21,ml,5,4,2,3,0,1,1
2025-10-22,amzn,9,2,2,1,0,1,2
2025-10-23,amzn,6,2,2,2,0,0,2
2025-10-24,ml,6,3,1,1,0,1,1
2025-10-25,amzn,10,6,2,1,0,1,1
2025-10-26,shop,6,3,1,2,0,1,1
2025-10-27,amzn,3,2,1,1,0,1,1
2025-10-28,amzn,11,4,1,1,0,1,1
2025-10-29,ml,10,3,2,3,0,1,1
2025-10-30,amzn,6,1,2,4,0,1,1
2025-10-31,ml,14,5,1,4,0,2,2
2025-11-01,shop,7,4,2,2,0,1,1
2025-11-02,ml,11,6,1,3,0,2,2
2025-11-03,amzn,6,3,1,3,0,1,1
2025-11-04,ml,12,5,3,4,0,1,1
2025-11-05,ml,12,6,2,3,0,2,2
